closed_date,created_date,description,origin,priority,sf_case_id,sf_contact_id,status,subject,type
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,High,500g5000004h3XpAAI,003g5000002B75fAAC,Closed,Performance inadequate for second consecutive week,Electrical
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,High,500g5000004h3XqAAI,003g5000002B75OAAS,Closed,Starting generator after electrical failure,Electrical
,2026-01-06T10:58:10.000+0000,,Web,Low,500g5000004h3XrAAI,003g5000002B75VAAS,New,Seeking guidance on electrical wiring installation for GC5060,Electrical
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Web,Low,500g5000004h3XsAAI,003g5000002B75XAAS,Closed,Easy installation process,Other
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,Medium,500g5000004h3XtAAI,003g5000002B75XAAS,Closed,Maintenance guidelines for generator unclear,Other
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,Medium,500g5000004h3XuAAI,003g5000002B75YAAS,Closed,Electrical circuit malfunctioning,Electrical
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,Low,500g5000004h3XvAAI,003g5000002B75eAAC,Closed,Generator assembly instructions unclear,Other
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,Medium,500g5000004h3XwAAI,003g5000002B75TAAS,Closed,Structural breakdown of rotor assembly,Structural
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Web,Low,500g5000004h3XxAAI,003g5000002B75TAAS,Closed,Customer service for portable generators needs beefing up,Other
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,Medium,500g5000004h3XyAAI,003g5000002B75bAAC,Closed,Mechanical maintenance guidelines for generator misleading,Mechanical
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Web,Low,500g5000004h3XzAAI,003g5000002B75cAAC,Closed,Maintenance guidelines for generator unclear,Other
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Web,Medium,500g5000004h3Y0AAI,003g5000002B75dAAC,Closed,Electronic panel fitting loose,Electronic
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Web,Medium,500g5000004h3Y1AAI,003g5000002B75ZAAS,Closed,Repeated motor breakdown while shutting off,Electrical
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Web,Medium,500g5000004h3Y2AAI,003g5000002B75UAAS,Closed,Starting up generator consumes excessive power,Other
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,High,500g5000004h3Y3AAI,003g5000002B75UAAS,Closed,Delay in installation; spare parts unavailable,Other
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Web,Medium,500g5000004h3Y4AAI,003g5000002B75dAAC,Closed,Frequent mechanical breakdown,Mechanical
,2026-01-06T10:58:10.000+0000,,Web,Low,500g5000004h3Y5AAI,003g5000002B75eAAC,New,Maintenance guidelines for generator unclear,Other
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Web,Medium,500g5000004h3Y6AAI,003g5000002B75PAAS,Closed,Shutting down of generator,Mechanical
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,Medium,500g5000004h3Y7AAI,003g5000002B75PAAS,Closed,Cannot start generator after electrical failure,Electrical
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Web,High,500g5000004h3Y8AAI,003g5000002B75QAAS,Closed,Structural failure of generator base,Structural
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,Medium,500g5000004h3Y9AAI,003g5000002B75QAAS,Closed,Power generation below stated level,Electrical
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,High,500g5000004h3YAAAY,003g5000002B75VAAS,Closed,Generator GC3060 platform structure is weakening,Structural
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Web,Medium,500g5000004h3YBAAY,003g5000002B75VAAS,Closed,Signal panel on GC5060 blinks intermittently,Electronic
2024-11-17T18:59:51.000+0000,2026-01-06T10:58:10.000+0000,,Phone,High,500g5000004h3YCAAY,003g5000002B75VAAS,Closed,Electric surge damaging adjacent equipment,Electrical
,2026-01-06T10:58:10.000+0000,,Web,Low,500g5000004h3ZpAAI,003g5000002B75WAAS,New,Design issue with mechanical rotor,Mechanical
