activity_date,description,priority,sf_contact_id,sf_task_id,status,subject
2023-12-16,Customer segment: active,Low,003g5000002EgEOAA0,00Tg5000000Rj7WEAS,Not Started,Birthday Greeting
2023-06-29,Customer segment: churned,Normal,003g5000002EipdAAC,00Tg5000000Rj7XEAS,Completed,Follow-up Call
2023-01-04,Customer segment: active,High,003g5000002EgXiAAK,00Tg5000000Rj7YEAS,Not Started,Account Review
2025-03-14,Customer segment: active,Normal,003g5000002EgMSAA0,00Tg5000000Rj7ZEAS,Completed,Product Inquiry Response
2025-02-07,Customer segment: active,Normal,003g5000002EiPpAAK,00Tg5000000Rj98EAC,Not Started,Welcome Call
2023-12-06,Customer segment: active,High,003g5000002EiZVAA0,00Tg5000000Rj99EAC,In Progress,Retention Call
2023-12-15,Customer segment: churned,Normal,003g5000002EeneAAC,00Tg5000000RjAmEAK,Not Started,Product Inquiry Response
2025-07-27,Customer segment: active,Normal,003g5000002Eg1VAAS,00Tg5000000RjAnEAK,In Progress,Product Inquiry Response
2024-06-23,Customer segment: active,High,003g5000002EifxAAC,00Tg5000000RjAoEAK,Completed,Retention Call
2024-06-28,Customer segment: churned,Low,003g5000002EjXBAA0,00Tg5000000RjApEAK,Not Started,Survey Follow-up
2024-12-05,Customer segment: active,Normal,003g5000002EfdMAAS,00Tg5000000RjCMEA0,Completed,Cross-sell Opportunity
2024-03-02,Customer segment: active,High,003g5000002EiXuAAK,00Tg5000000RjCNEA0,In Progress,Retention Call
2025-05-03,Customer segment: at_risk,High,003g5000002EiOFAA0,00Tg5000000RjCOEA0,Not Started,Account Review
2025-09-12,Customer segment: churned,High,003g5000002Ej2YAAS,00Tg5000000RjCPEA0,Completed,Account Review
2023-05-15,Customer segment: churned,High,003g5000002Ej2YAAS,00Tg5000000RjCQEA0,In Progress,Retention Call
2023-04-05,Customer segment: at_risk,Normal,003g5000002EjAcAAK,00Tg5000000RjCREA0,Not Started,Welcome Call
2025-03-10,Customer segment: at_risk,Normal,003g5000002Ef2GAAS,00Tg5000000RjDyEAK,Completed,Welcome Call
2025-07-24,Customer segment: active,High,003g5000002EiMcAAK,00Tg5000000RjDzEAK,Not Started,Retention Call
2025-05-05,Customer segment: active,Low,003g5000002EenhAAC,00Tg5000000RjE0EAK,In Progress,Birthday Greeting
2023-04-25,Customer segment: churned,High,003g5000002Eg6OAAS,00Tg5000000RjE1EAK,Completed,Account Review
2024-05-31,Customer segment: active,Normal,003g5000002EeiuAAC,00Tg5000000RjE2EAK,Completed,Product Inquiry Response
2024-04-17,Customer segment: active,High,003g5000002EiUgAAK,00Tg5000000RjE3EAK,In Progress,Account Review
2023-01-20,Customer segment: at_risk,Low,003g5000002Ef3rAAC,00Tg5000000RjE4EAK,Completed,Survey Follow-up
2024-04-28,Customer segment: active,Low,003g5000002EjAbAAK,00Tg5000000RjE5EAK,Completed,Birthday Greeting
2024-08-19,Customer segment: active,Low,003g5000002EjDpAAK,00Tg5000000RjE6EAK,Not Started,Survey Follow-up
2024-09-09,Customer segment: active,Normal,003g5000002EgJDAA0,00Tg5000000RjHEEA0,Completed,Product Inquiry Response
2025-05-05,Customer segment: active,High,003g5000002EfWqAAK,00Tg5000000RjHFEA0,Not Started,Account Review
2025-11-15,Customer segment: churned,Normal,003g5000002EeHiAAK,00Tg5000000RjHGEA0,Completed,Follow-up Call
2023-09-27,Customer segment: churned,Normal,003g5000002Ef3mAAC,00Tg5000000RjKQEA0,Completed,Cross-sell Opportunity
2024-07-04,Customer segment: at_risk,Normal,003g5000002Eeu7AAC,00Tg5000000RjKREA0,In Progress,Product Inquiry Response
2023-07-25,Customer segment: active,Low,003g5000002EgmEAAS,00Tg5000000RjKSEA0,Completed,Birthday Greeting
2024-06-04,Customer segment: at_risk,High,003g5000002EhyQAAS,00Tg5000000RjKTEA0,Completed,Account Review
2025-10-05,Customer segment: churned,Low,003g5000002EhFIAA0,00Tg5000000RjKUEA0,In Progress,Birthday Greeting
2024-04-16,Customer segment: active,Normal,003g5000002EengAAC,00Tg5000000RjKVEA0,Completed,Follow-up Call
2025-01-04,Customer segment: churned,Normal,003g5000002EhVOAA0,00Tg5000000RjKWEA0,In Progress,Welcome Call
2023-04-05,Customer segment: at_risk,Low,003g5000002Efi9AAC,00Tg5000000RjKXEA0,Not Started,Survey Follow-up
2024-06-01,Customer segment: active,High,003g5000002Eg4iAAC,00Tg5000000RjKYEA0,Completed,Account Review
2025-03-14,Customer segment: active,Low,003g5000002Eio1AAC,00Tg5000000RjKZEA0,In Progress,Birthday Greeting
2025-06-04,Customer segment: active,High,003g5000002Ej2XAAS,00Tg5000000RjKaEAK,Not Started,Retention Call
2025-02-26,Customer segment: churned,High,003g5000002EgMQAA0,00Tg5000000RjM2EAK,In Progress,Account Review
2023-03-03,Customer segment: active,Normal,003g5000002Eh3zAAC,00Tg5000000RjM3EAK,In Progress,Cross-sell Opportunity
2023-07-04,Customer segment: at_risk,Normal,003g5000002EjNVAA0,00Tg5000000RjM4EAK,In Progress,Product Inquiry Response
2025-03-19,Customer segment: at_risk,High,003g5000002EhOxAAK,00Tg5000000RjM5EAK,Not Started,Account Review
2024-06-19,Customer segment: active,High,003g5000002EiBJAA0,00Tg5000000RjQsEAK,Completed,Retention Call
2023-12-24,Customer segment: churned,High,003g5000002Ej49AAC,00Tg5000000RjQtEAK,Not Started,Account Review
2024-06-03,Customer segment: churned,Normal,003g5000002Ej2YAAS,00Tg5000000RjQuEAK,Completed,Cross-sell Opportunity
2025-07-31,Customer segment: active,Normal,003g5000002EfN7AAK,00Tg5000000RjSVEA0,Completed,Follow-up Call
2025-10-13,Customer segment: churned,Normal,003g5000002EfmvAAC,00Tg5000000RjSWEA0,In Progress,Welcome Call
2023-02-17,Customer segment: active,Low,003g5000002EfwbAAC,00Tg5000000RjSXEA0,Completed,Survey Follow-up
2024-06-30,Customer segment: active,Normal,003g5000002EgRFAA0,00Tg5000000RjViEAK,In Progress,Cross-sell Opportunity
